Model,Training,ROC-AUC,PR-AUC,Precision,Recall,F1,Specificity,TN,FP,FN,TP
Logistic Regression,Original,0.9703779443685184,0.7262511142086238,0.8243243243243243,0.6224489795918368,0.7093023255813954,0.9997713843556556,56851,13,37,61
Logistic Regression,Oversampled,0.9697164125216772,0.7128785154940321,0.0545785324439054,0.9183673469387755,0.10303377218088151,0.9725837084974677,55305,1559,8,90
Decision Tree,Original,0.9129751401123195,0.5875701953826719,0.7105263157894737,0.826530612244898,0.7641509433962265,0.9994196679797411,56831,33,17,81
Decision Tree,Oversampled,0.8772784402168295,0.5325884860959086,0.7047619047619048,0.7551020408163265,0.729064039408867,0.9994548396173326,56833,31,24,74
Naive Bayes,Original,0.9574913075809952,0.16271454667638754,0.09953703703703703,0.8775510204081632,0.1787941787941788,0.9863182329769274,56086,778,12,86
Naive Bayes,Oversampled,0.9572752532357907,0.15170747445070154,0.07644444444444444,0.8775510204081632,0.14063777596075225,0.9817283342712436,55825,1039,12,86
